driverref,position,time,ms,lap,raceid,roundNum,circuitName,circuitLat,circuitLong,circuitCountry,circuitCity
alonso,6,01:39.3,99307,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.5,99519,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:39.4,99368,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.6,99551,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.7,99695,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,11,01:39.6,99551,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,12,01:39.8,99767,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,13,01:39.7,99723,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
kevin_magnussen,14,01:39.8,99781,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,15,01:40.0,99989,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
latifi,16,01:39.9,99923,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,17,01:39.7,99671,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,18,01:40.3,100349,32,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:37.9,97900,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.5,98485,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.3,98284,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,4,01:38.0,97975,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,5,01:38.6,98604,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,6,01:39.3,99313,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.6,99636,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:39.9,99943,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.6,99636,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.8,99796,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,11,01:40.0,100000,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,12,01:39.8,99822,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,13,01:39.9,99928,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
kevin_magnussen,14,01:40.4,100405,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,15,01:40.2,100157,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
latifi,16,01:40.0,100008,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,17,01:40.7,100692,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,18,01:39.9,99877,33,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:37.9,97911,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.1,98145,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.5,98525,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,4,01:38.1,98081,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,5,01:38.3,98326,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,6,01:39.7,99742,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:40.3,100323,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:39.9,99863,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.4,99374,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.9,99905,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,11,01:39.7,99729,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,12,01:39.8,99788,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,13,01:39.9,99913,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
kevin_magnussen,14,01:40.0,100029,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,15,01:40.2,100181,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
latifi,16,01:40.1,100148,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,17,01:39.9,99887,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,18,01:40.2,100229,34,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:38.3,98301,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.3,98282,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.7,98671,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,4,01:38.2,98172,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,5,01:38.3,98340,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,6,01:39.9,99887,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.8,99814,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:40.3,100270,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:40.3,100255,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:40.2,100215,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,11,01:40.0,100042,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,12,01:40.0,100025,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,13,01:40.3,100283,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
kevin_magnussen,14,01:40.4,100373,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,15,01:40.3,100289,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
latifi,16,01:40.5,100502,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,17,01:40.2,100185,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,18,01:40.2,100235,35,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:38.1,98053,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.7,98689,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:39.0,98995,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,4,01:38.6,98599,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,5,01:38.7,98746,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,6,01:39.7,99674,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.6,99597,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:39.8,99806,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.9,99914,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:40.0,99978,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,11,01:40.1,100095,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,12,01:39.9,99917,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:40.2,100173,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
kevin_magnussen,14,01:41.5,101523,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
latifi,15,01:40.8,100768,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,16,01:39.9,99918,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,17,02:00.3,120346,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,18,01:40.4,100366,36,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:38.3,98270,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.0,98034,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.4,98446,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,4,01:38.4,98416,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,5,01:38.2,98225,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,6,01:39.6,99555,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.5,99493,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:39.8,99808,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.8,99773,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.9,99947,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,11,01:39.9,99875,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,12,01:39.9,99869,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:39.4,99425,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
kevin_magnussen,14,01:40.7,100667,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
latifi,15,01:40.6,100621,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,16,01:39.7,99702,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,17,01:45.6,105625,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,18,01:42.1,102069,37,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:37.7,97683,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.2,98235,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.3,98271,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,4,01:38.3,98310,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,5,01:38.3,98289,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,6,01:40.0,99958,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.5,99470,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:39.8,99767,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.8,99822,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:40.1,100066,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,11,01:40.7,100713,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,12,01:40.6,100554,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:39.2,99234,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,14,01:41.2,101154,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,15,01:38.2,98219,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
latifi,16,02:20.4,140387,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,17,01:40.8,100839,38,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:38.0,98027,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.6,98612,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.7,98663,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,4,01:38.7,98703,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,5,01:38.4,98368,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,6,01:39.3,99306,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.4,99409,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:39.7,99675,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.7,99725,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.7,99739,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,11,01:39.4,99392,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,12,01:41.4,101366,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:39.4,99446,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,14,01:39.6,99648,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,15,01:38.2,98218,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
latifi,16,01:47.7,107723,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,17,01:40.2,100223,39,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:37.8,97838,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.1,98126,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.4,98410,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,4,01:38.3,98348,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,5,01:38.0,98025,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,6,01:38.9,98950,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.1,99131,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:39.6,99584,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.6,99580,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.6,99556,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,11,01:39.5,99507,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,12,01:40.1,100090,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:39.6,99573,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,14,01:39.8,99800,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,15,01:38.3,98312,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
latifi,16,01:39.6,99650,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,17,01:42.4,102354,40,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:37.7,97736,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:37.8,97815,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,3,01:38.9,98857,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,4,01:39.7,99672,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,5,01:38.3,98252,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,6,01:38.8,98752,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.1,99125,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:39.9,99928,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.8,99777,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.4,99449,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,11,01:39.4,99415,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,12,01:39.9,99854,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:39.7,99663,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,14,01:39.5,99519,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,15,01:38.3,98254,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,16,01:45.4,105418,41,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:37.8,97836,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.3,98279,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:40.7,100737,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,4,01:39.3,99349,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,5,01:38.9,98917,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,6,01:39.4,99389,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,7,02:05.2,125219,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:39.7,99675,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.8,99760,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.4,99375,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,11,01:39.1,99124,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,12,01:39.9,99853,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:40.0,100041,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,14,01:39.7,99663,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,15,01:39.0,99036,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,16,01:40.1,100119,42,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:37.6,97642,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.3,98257,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.4,98448,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,4,01:38.4,98415,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,5,01:38.9,98851,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,6,01:39.0,99037,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,7,01:39.7,99708,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,8,01:44.4,104372,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:40.0,99992,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.4,99440,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,11,01:39.0,99044,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,12,01:39.6,99551,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:39.6,99558,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,14,01:39.3,99318,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,15,01:38.6,98631,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,16,01:39.9,99877,43,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:38.0,98019,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.1,98123,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.3,98310,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,4,01:38.4,98438,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,5,01:38.8,98774,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,6,01:39.3,99296,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,7,01:36.2,96242,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,8,01:40.3,100312,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,9,01:39.7,99711,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.6,99566,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,11,01:39.3,99259,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,12,01:39.6,99638,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:39.5,99541,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,14,01:39.4,99404,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,15,01:38.7,98662,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,16,01:41.8,101794,44,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:37.9,97856,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:37.9,97890,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:37.8,97780,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,4,01:38.1,98084,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,5,01:38.7,98715,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,6,01:36.2,96208,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.9,99897,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,8,01:40.1,100077,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,9,01:41.1,101069,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.8,99766,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,11,01:39.3,99260,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,12,01:39.4,99449,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:39.6,99586,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,14,01:39.4,99420,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,15,01:38.5,98466,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,16,01:40.0,100046,45,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:38.2,98242,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.2,98248,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.0,97977,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,4,01:37.6,97627,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,5,01:38.3,98289,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,6,01:36.2,96243,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.3,99321,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,8,01:39.4,99428,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,9,01:39.7,99739,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.4,99358,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
vettel,11,01:39.2,99239,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
albon,12,01:39.9,99857,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
gasly,13,01:39.6,99561,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
mick_schumacher,14,01:39.4,99422,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
bottas,15,01:38.7,98682,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
zhou,16,01:40.0,100027,46,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
max_verstappen,1,01:38.1,98073,47,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
hamilton,2,01:38.6,98589,47,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
perez,3,01:38.1,98067,47,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
russell,4,01:38.1,98097,47,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
sainz,5,01:35.9,95852,47,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
alonso,6,01:39.5,99492,47,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
norris,7,01:39.2,99161,47,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ocon,8,01:39.0,98962,47,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
ricciardo,9,01:39.3,99339,47,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
stroll,10,01:39.3,99285,47,1085,12,Circuit Paul Ricard,43.2506,5.79167,France,Le Castellet
