driverref,position,time,ms,lap,raceid,roundNum,circuitName,circuitLat,circuitLong,circuitCountry,circuitCity
ocon,10,01:40.6,100558,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,11,01:40.6,100611,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,12,01:41.7,101708,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,13,01:41.0,101003,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,14,01:42.4,102447,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,15,01:41.5,101461,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,16,01:42.0,101995,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,17,01:41.9,101897,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,18,01:41.7,101658,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,19,01:41.8,101770,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,20,01:42.9,102945,6,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:38.8,98835,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:39.1,99062,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:39.6,99588,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,4,01:39.7,99682,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,5,01:39.3,99264,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,6,01:39.9,99934,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,7,01:40.6,100555,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,8,01:40.4,100433,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,9,01:40.8,100823,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,10,01:40.8,100782,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,11,01:40.8,100754,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,12,01:41.6,101561,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,13,01:41.3,101287,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,14,01:40.6,100620,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,15,01:42.5,102512,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,16,01:41.9,101912,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,17,01:41.8,101827,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,18,01:42.2,102192,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,19,01:42.1,102065,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,20,01:43.1,103137,7,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:39.0,98951,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:39.1,99092,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:39.3,99275,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,4,01:39.8,99758,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,5,01:39.8,99825,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,6,01:39.7,99729,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,7,01:40.5,100451,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,8,01:40.7,100684,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,9,01:40.4,100442,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,10,01:42.4,102371,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,11,01:41.4,101351,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,12,01:41.6,101606,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,13,01:43.1,103097,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,14,01:42.1,102110,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,15,01:42.3,102304,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,16,01:42.2,102177,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,17,01:42.2,102174,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,18,01:41.9,101860,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,19,01:41.9,101931,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,20,01:41.9,101894,8,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:38.8,98807,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:39.3,99251,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:39.4,99424,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,4,01:40.3,100274,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,5,01:40.2,100215,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,6,01:40.2,100158,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,7,01:40.8,100756,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,8,01:40.8,100844,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,9,01:40.8,100819,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,10,01:41.4,101448,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,11,01:40.9,100900,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,12,01:40.6,100586,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
albon,13,01:42.1,102149,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
zhou,14,01:42.3,102258,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
mick_schumacher,15,01:42.2,102158,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
stroll,16,01:41.6,101557,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hulkenberg,17,01:43.8,103773,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
norris,18,01:42.5,102492,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
latifi,19,01:42.5,102473,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ricciardo,20,01:42.7,102746,9,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
leclerc,1,01:39.1,99123,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
max_verstappen,2,01:39.4,99392,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
sainz,3,01:39.7,99682,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
perez,4,01:39.8,99806,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
hamilton,5,01:41.6,101581,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
russell,6,01:40.2,100236,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
kevin_magnussen,7,01:41.2,101195,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
gasly,8,01:41.0,100981,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
ocon,9,01:41.0,100992,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
alonso,10,01:41.9,101873,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
tsunoda,11,01:41.2,101182,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
bottas,12,01:40.8,100788,10,1074,1,Bahrain International Circuit,26.0325,50.5106,Bahrain,Sakhir
